ordem,id,camada,grupo,tipo_origem,modalidade,geometria_esperada,estado_dados_v20,registros_locais,fonte_primaria,url_servico,fonte_documental,url_download,licenca_ou_termos,data_corte,atualizacao_fonte,crs,escala_resolucao,nivel_validacao,precisao,restricao_uso,limitacoes,responsavel_compilacao,versao
68,mapa_fragilidade_ambiental_zae,Mapa de fragilidade ambiental,paisagem,portal externo,external,Conforme fonte,consulta externa,0,SEMADESC e Embrapa Solos. Produto do Zoneamento Agroecológico de Mato Grosso do Sul,https://www.semadesc.ms.gov.br/programas-e-projetos/zae-ms/,https://www.semadesc.ms.gov.br/mato-grosso-do-sul-ganha-o-maior-raio-x-de-solos-do-brasil-com-estudo-da-embrapa/,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
69,mapa_vegetacao_original_radam,Mapa de vegetação original RADAM,paisagem,mapa oficial dinâmico,arcgisMap,Conforme fonte,visualização dinâmica,0,PIN MS e IBGE. Mapeamento estadual de vegetação RADAM,https://www.pinms.ms.gov.br/arcgis/rest/services/SGI/Vegetacao_RADAM_MS/MapServer,https://bdiaweb.ibge.gov.br/,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
70,uso_cobertura_solo,MapBiomas 10.1 — cobertura e uso da terra por município,paisagem,estatística oficial aberta,officialxlsx,Sede municipal representativa com estatísticas territoriais,capturável sob demanda e importável manualmente,0,"MapBiomas Brasil. Estatísticas municipais da Coleção 10.1, 1985–2024, atualizadas em 19 de fevereiro de 2026. O atlas resume classes selecionadas por município.",https://drive.usercontent.google.com/download?id=1p0dLrhvKymPhrSithsRBMRgHlFHq0FUf&export=download,https://brasil.mapbiomas.org/estatisticas/,https://drive.google.com/uc?export=download&id=1p0dLrhvKymPhrSithsRBMRgHlFHq0FUf,Termos de uso MapBiomas e citação obrigatória da Coleção 10.1 e de seu DOI.,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,produto MapBiomas; síntese municipal derivada e reproduzível,Declarada no registro local ou preservada da fonte; consultar metadados,O ponto municipal ou estadual é representativo da estatística e não corresponde à localização dos pixels.,"Consultar a legenda, metodologia, acurácia e termos da Coleção 10.1 antes de interpretações causais.","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
71,mapa_mudancas_uso_solo,MapBiomas 10.1 — desmatamento e vegetação secundária,paisagem,estatística oficial aberta,officialxlsx,Sede municipal quando disponível ou ponto estadual representativo,capturável sob demanda e importável manualmente,0,"MapBiomas Brasil. Estatísticas de desmatamento da Coleção 10.1, 1987–2024, atualização de 8 de maio de 2026. O nível territorial disponível na planilha é preservado nos atributos.",https://brasil.mapbiomas.org/wp-content/uploads/sites/4/2026/05/MAPBIOMAS_BRAZIL_COL.10.1_DEFORESTATION.xlsx,https://brasil.mapbiomas.org/estatisticas/,https://brasil.mapbiomas.org/wp-content/uploads/sites/4/2026/05/MAPBIOMAS_BRAZIL_COL.10.1_DEFORESTATION.xlsx,Termos de uso MapBiomas e citação obrigatória da Coleção 10.1.,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,produto MapBiomas; representação pontual derivada para consulta,Declarada no registro local ou preservada da fonte; consultar metadados,O ponto municipal ou estadual é representativo da estatística e não corresponde à localização dos pixels.,"Consultar a legenda, metodologia, acurácia e termos da Coleção 10.1 antes de interpretações causais.","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
72,mapa_macrozoneamento_zae,Macrozoneamento de solos e apoio ao ZAE,paisagem,mapa oficial dinâmico,arcgisMap,Conforme fonte,visualização dinâmica,0,SEMADESC e PIN MS. Macrozoneamento de solos e água disponível como apoio territorial ao ZAE,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,https://www.semadesc.ms.gov.br/programas-e-projetos/zae-ms/,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
73,mapa_zoneamento_agroecologico_ms,Zoneamento Agroecológico de Mato Grosso do Sul,paisagem,portal externo,external,Conforme fonte,consulta externa,0,"SEMADESC e Embrapa Solos. Zonas agroecológicas, aptidões e restrições territoriais",https://www.semadesc.ms.gov.br/programas-e-projetos/zae-ms/,https://www.semadesc.ms.gov.br/zoneamento-agroecologico-sul-mato-grossense-sera-apresentado-em-evento-de-capacitacao-tecnica-da-semadesc/,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
74,areas_exploratorias_influencia_cartografica,Áreas exploratórias de influência cartográfica,paisagem,local,embedded,Polygon,incorporada no pacote,0,Produto exploratório e revisável derivado das propostas metodológicas do projeto de pesquisa,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,"Uso científico e comparativo. Não utilizar como percurso oficial, produto turístico, autorização de acesso, delimitação territorial ou prioridade pública","Produto dependente de desenhos metodológicos abertos. Pode ser recalculado, modificado ou descartado em versões posteriores","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
75,artesanato_producao_tradicional,Referências cartográficas preliminares — Artesanato e produção tradicional,paisagem,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,"Mapa da Cultura, BCR IPHAN e levantamentos comunitários Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://mapas.cultura.gov.br/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
76,gastronomia_mercados_feiras,"Referências cartográficas preliminares — Feiras, mercados, casas de artesanato e gastronomia tradicional",paisagem,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,"Captura espacial OpenStreetMap. Validação por inventários municipais, Fundtur MS e Mapa da Cultura Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://mapas.cultura.gov.br/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
77,unidades_saude,"Referências cartográficas preliminares — Hospitais, unidades de saúde e urgência",apoio,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,CNES e DATASUS Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://datasus.saude.gov.br/cnes-estabelecimentos/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
78,bombeiros_seguranca,"Referências cartográficas preliminares — Bombeiros, polícia e pontos de segurança",apoio,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,"CBMMS, SEJUSP e Polícia Civil de Mato Grosso do Sul Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.bombeiros.ms.gov.br/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
79,combustivel_oficinas_descanso,"Referências cartográficas preliminares — Combustível, oficinas e áreas de descanso",apoio,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,Levantamentos operacionais e bases municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
80,acessibilidade_servicos,"Referências cartográficas preliminares — Acessibilidade, banheiros, água e serviços ao visitante",apoio,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,"Cadastur, equipamentos públicos e verificação de campo Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
81,cobertura_telefonia_movel,"Cobertura de telefonia móvel 2G, 3G, 4G e 5G",apoio,portal externo,external,Conforme fonte,consulta externa,0,"Anatel Mosaico SMP. Importação dos SHP oficiais por tecnologia, operadora e intensidade prevista",https://dados.gov.br/dados/conjuntos-dados/cobertura_movel,https://sistemas.anatel.gov.br/se/public/cmap.php,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
82,indice_exploratorio_disponibilidade_territorial,Índice exploratório de disponibilidade territorial e documental,analise,local,embedded,Point,incorporada no pacote,0,Resultado estável v1.6.0 com fórmula e sensibilidade documentadas. Exclui rotas e produtos derivados para evitar circularidade,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,"Não utilizar como certificação, delimitação oficial ou decisão de investimento","Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
83,trechos_itinerarios,Trechos esquemáticos derivados das propostas metodológicas,analise,local,embedded,LineString,incorporada no pacote,0,Segmentação cartográfica revisável dos 31 desenhos metodológicos do projeto de pesquisa,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,"Uso científico e comparativo. Não utilizar como percurso oficial, produto turístico, autorização de acesso, delimitação territorial ou prioridade pública","Produto dependente de desenhos metodológicos abertos. Pode ser recalculado, modificado ou descartado em versões posteriores","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
84,pre_avaliacao_cartografica_itinerarios,Pré-avaliação cartográfica descritiva dos itinerários,analise,local,embedded,Point,incorporada no pacote,0,Produto exploratório e revisável derivado das propostas metodológicas do projeto de pesquisa,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,"Uso científico e comparativo. Não utilizar como percurso oficial, produto turístico, autorização de acesso, delimitação territorial ou prioridade pública","Produto dependente de desenhos metodológicos abertos. Pode ser recalculado, modificado ou descartado em versões posteriores","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
85,mapa_zee_ms,Zoneamento Ecológico Econômico de Mato Grosso do Sul,analise,mapa oficial dinâmico,arcgisMap,Conforme fonte,visualização dinâmica,0,IMASUL e PIN MS. ZEE MS disponível no serviço cartográfico estadual,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/SiriemaGeo_Sisla/MapServer/38,https://www.semadesc.ms.gov.br/wp-content/uploads/2018/04/Consolida%C3%A7%C3%A3o-ZEE-2%C2%AA-Aproxima%C3%A7%C3%A3o.pdf,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
86,vulnerabilidade_territorial_censo_2022,Vulnerabilidade territorial e indicadores do Censo 2022,analise,portal externo,external,Conforme fonte,consulta externa,0,"IBGE, Censo Demográfico 2022 e agregados territoriais",https://censo2022.ibge.gov.br/panorama/,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
87,corredores_exploratorios_aprofundamento,Eixos exploratórios para aprofundamento,analise,local,embedded,LineString,incorporada no pacote,0,Produto exploratório e revisável derivado das propostas metodológicas do projeto de pesquisa,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,"Uso científico e comparativo. Não utilizar como percurso oficial, produto turístico, autorização de acesso, delimitação territorial ou prioridade pública","Produto dependente de desenhos metodológicos abertos. Pode ser recalculado, modificado ou descartado em versões posteriores","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
88,riscos_sazonalidade,"Riscos, sazonalidade e restrições operacionais",analise,portal externo,external,Conforme fonte,consulta externa,0,"Defesa Civil de Mato Grosso do Sul, CEMTEC, planos de manejo e validação de campo",https://www.defesacivil.ms.gov.br/unidade-administrativa/departamento-de-gestao-de-riscos-e-desastres/,https://www.defesacivil.ms.gov.br/programas-e-projetos/monitoracao/,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
89,acessibilidade_rodoviaria_estimada_rotas_base_externa,Acessibilidade rodoviária estimada das rotas com base externa,analise,derivada na sessão,derived,LineString,calculável sob demanda,0,Cálculo científico sob demanda com OSRM e rede OpenStreetMap para 7 rotas com base institucional ou documental direta e 2 propostas híbridas.,,https://github.com/Project-OSRM/osrm-backend/blob/master/docs/http.md,,Geometria derivada de OpenStreetMap sob ODbL 1.0; atributos metodológicos autorais sob CC BY 4.0,2026-08-06,Calculada no momento da solicitação,EPSG:4326,Rede viária disponível ao endpoint,estimativa técnica não validada em campo,Pontos municipais ajustados pelo motor à rede viária,"Não utilizar como traçado cultural, histórico, fluvial, rota oficial, plano de viagem ou autorização de acesso","Serviço externo sem garantia de disponibilidade; sem trânsito em tempo real; pode omitir restrições, interrupções, pavimentação e sazonalidade","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
90,interacoes_rotas_unidades_conservacao,Interações exploratórias entre rotas e unidades de conservação,analise,derivada na sessão,derived,Point,calculável após captura do CNUC,0,Cruzamento geométrico em sessão entre propostas metodológicas de rotas e polígonos CNUC carregados.,,PROTOCOLO_CNUC_CANIE.md,,CC BY 4.0 para atributos metodológicos; geometrias e atributos de origem mantêm os termos do CNUC,2026-08-06,Calculada no momento da solicitação,EPSG:4326,Dependente das fontes e dos parâmetros declarados,exploratória; não substitui análise jurídica ou de manejo,Exploratória e dependente das geometrias de entrada,"Não utilizar como autorização de acesso, reconhecimento oficial, compatibilidade jurídica ou recomendação turística",Calculada apenas após carregar as fontes necessárias; revisar resultados e falsos positivos,"Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
91,cavidades_proximas_rotas_estudo,Cavidades próximas às rotas em estudo,analise,derivada na sessão,derived,Point,calculável após captura do CANIE,0,Cálculo em sessão da menor distância entre cavidades CANIE e os traçados esquemáticos das rotas. Limiar exploratório de 50 km.,,PROTOCOLO_CNUC_CANIE.md,,CC BY 4.0 para atributos metodológicos; dados CANIE mantêm atribuição e limitações da fonte,2026-08-06,Calculada no momento da solicitação,EPSG:4326,Dependente das fontes e dos parâmetros declarados,exploratória; proximidade não implica visitação ou integração cultural,Exploratória e dependente das geometrias de entrada,"Não utilizar como autorização de acesso, reconhecimento oficial, compatibilidade jurídica ou recomendação turística",Calculada apenas após carregar as fontes necessárias; revisar resultados e falsos positivos,"Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
92,cavidades_em_unidades_conservacao,Cavidades registradas em unidades de conservação,analise,derivada na sessão,derived,Point,calculável após captura de CNUC e CANIE,0,Cruzamento pontual em sessão entre cavidades CANIE e polígonos CNUC carregados.,,PROTOCOLO_CNUC_CANIE.md,,CC BY 4.0 para atributos metodológicos; fontes CNUC e CANIE conservam seus termos,2026-08-06,Calculada no momento da solicitação,EPSG:4326,Dependente das fontes e dos parâmetros declarados,exploratória; depende da precisão e atualização das duas fontes,Exploratória e dependente das geometrias de entrada,"Não utilizar como autorização de acesso, reconhecimento oficial, compatibilidade jurídica ou recomendação turística",Calculada apenas após carregar as fontes necessárias; revisar resultados e falsos positivos,"Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
93,pre_avaliacao_geocientifica_geoparques_250km2,Polos geocientíficos para pré-avaliação de possíveis geoparques — 250 km²,analise,produto analítico derivado na sessão,derived,Polygon hexagonal nominal de 250 km²; seleção pelo centroide dentro do limite municipal oficial de Mato Grosso do Sul,calculável após captura ou importação das fontes oficiais requeridas,0,"Geossítios compilados do atlas, CANIE/CECAV/ICMBio, CNUC/MMA e limites municipais oficiais PIN MS/IMASUL",,PROTOCOLO_PRE_AVALIACAO_GEOPARQUES_250KM2.md,,"CC BY 4.0 para geometria, atributos e metodologia autorais; fontes de entrada conservam seus termos.",2026-08-06,Calculada no momento da solicitação,"Cálculo em projeção Lambert azimutal equivalente esférica centrada em -54,5/-20,5; exportação em EPSG:4326.",250 km² nominais por hexágono,"pré-avaliação cartográfica exploratória; não demonstra valor geológico internacional, governança ou elegibilidade UNESCO",Hexágonos nominais; contagens dependentes das geometrias e níveis de validação das fontes de entrada.,"Não utilizar como candidatura, certificação, delimitação oficial ou prova de valor geológico internacional.","Não avalia governança, plano de gestão, participação comunitária, visibilidade, educação, viabilidade financeira ou comparação científica internacional.","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
94,polos_estruturantes_itinerarios_culturais_250km2,Polos territoriais estruturantes para itinerários culturais — 250 km²,analise,produto analítico derivado na sessão,derived,Polygon hexagonal nominal de 250 km²; seleção pelo centroide dentro do limite municipal oficial de Mato Grosso do Sul,calculável após captura ou importação das fontes oficiais requeridas,0,"IPHAN patrimônio material, BCR/IPHAN, inventário de festividades, MuseusBr/IBRAM, IBGE localidades indígenas e quilombolas e limites municipais oficiais",,PROTOCOLO_POLOS_ITINERARIOS_CULTURAIS_250KM2.md,,"CC BY 4.0 para geometria, atributos e metodologia autorais; fontes de entrada conservam seus termos.",2026-08-06,Calculada no momento da solicitação,"Cálculo em projeção Lambert azimutal equivalente esférica centrada em -54,5/-20,5; exportação em EPSG:4326.",250 km² nominais por hexágono,"exploratória e auditável; não constitui rota, prioridade pública, autorização de acesso ou certificação PRICI",Hexágonos nominais; presenças comunitárias binárias e protegidas; registros tabulares podem usar sede municipal representativa.,"Não utilizar como rota oficial, certificação, prioridade pública, autorização de acesso ou prova de consentimento comunitário.","Dependente da distribuição desigual dos inventários; continuidade limitada à malha estadual; não incorpora geossítios, cavidades, universidades, Cadastur ou rotas autorais.","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
95,indice_cenario_sessao,Cenário temporário calculado com camadas carregadas,analise,derivada,derived,Point,calculável na sessão,0,Cálculo opcional da sessão. Não altera o índice estável e não incorpora automaticamente as rotas em estudo,,,,CC BY 4.0 para os produtos autorais do projeto,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,"Não utilizar como certificação, delimitação oficial ou decisão de investimento","Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
96,dados_usuario,Dados importados pelo usuário,analise,dados do usuário,import,Mixed,importável pelo usuário,0,"Arquivo fornecido pelo usuário. O atlas não valida conteúdo, licença ou precisão",,,,Responsabilidade do usuário,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,não validada,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
